1500,-5235,-7579
1440,-5295,-7702
1500,-5325,-7522
1470,-5303,-7624
1443,-5305,-7627
1447,-5294,-7609
1451,-5282,-7605
1443,-5264,-7619
1449,-5267,-7600
1455,-5232,-7610
1436,-5228,-7584
1438,-5192,-7583
1440,-5196,-7576
1447,-5204,-7594
1466,-5205,-7602
1479,-5226,-7621
1468,-5222,-7629
1466,-5226,-7610
1479,-5226,-7616
1483,-5211,-7612
1471,-5194,-7602
1477,-5181,-7611
1453,-5190,-7598
1428,-5189,-7594
1400,-5144,-7586
1335,-5097,-7593
1280,-5027,-7600
1183,-4941,-7650
1140,-4909,-7679
1059,-4808,-7690
978,-4699,-7664
909,-4590,-7688
825,-4469,-7683
765,-4367,-7684
691,-4257,-7705
615,-4112,-7716
547,-3940,-7731
457,-3749,-7752
431,-3653,-7754
361,-3473,-7767
300,-3272,-7770
260,-3077,-7711
226,-2944,-7708
223,-2830,-7693
215,-2796,-7681
238,-2775,-7714
223,-2727,-7713
200,-2648,-7736
206,-2492,-7731
211,-2288,-7744
225,-2072,-7782
253,-1971,-7801
273,-1780,-7839
283,-1626,-7845
301,-1532,-7835
322,-1433,-7816
348,-1371,-7799
375,-1322,-7772
416,-1262,-7772
448,-1172,-7736
468,-1065,-7732
515,-940,-7768
564,-801,-7760
594,-745,-7783
652,-662,-7787
706,-578,-7810
746,-507,-7788
785,-443,-7789
834,-366,-7767
905,-295,-7738
960,-216,-7743
1036,-139,-7735
1151,-25,-7749
1235,80,-7755
1338,178,-7762
1426,275,-7772
1468,343,-7785
1503,367,-7806
1586,433,-7814
1681,487,-7810
1790,534,-7793
1916,592,-7789
2055,691,-7768
2186,780,-7774
2334,868,-7769
2461,924,-7785
2585,967,-7766
2711,1005,-7759
2818,1038,-7767
2930,1085,-7754
3039,1110,-7781
3127,1119,-7784
3230,1126,-7766
3286,1126,-7764
3378,1132,-7725
3474,1125,-7721
3556,1125,-7735
3628,1110,-7750
3701,1121,-7751
3776,1110,-7770
3845,1104,-7753
3930,1095,-7741
4006,1102,-7736
4093,1110,-7750
4158,1100,-7749
4243,1093,-7721
4351,1070,-7717
4486,1076,-7707
4605,1098,-7708
4653,1121,-7699
4698,1153,-7671
4747,1141,-7644
4755,1134,-7633
4798,1132,-7618
4828,1115,-7626
4867,1115,-7643
4942,1104,-7642
5000,1076,-7661
5068,1048,-7665
5141,1025,-7615
5186,973,-7631
5233,920,-7611
5265,856,-7612
5287,787,-7674
5311,740,-7663
5341,688,-7672
5388,656,-7664
5396,616,-7643
5480,570,-7640
5540,560,-7624
5617,562,-7601
5677,590,-7579
5780,594,-7585
5874,598,-7562
5947,551,-7539
6033,485,-7543
